,用户id,用户姓名,发表日期,国家,省份,市区,说说内容,积极情感分数,消极情感分数,积极情感均值,消极情感均值,积极情感方差,消极情感方差
9049,2088661600,娜姐,2017-05-18,中国,河南,信阳,这是你跳舞时的样子吗有没有会跳舞的呀小时候喜欢跳舞的说你是不是这个小逗比,9.0,0.0,0.4,0.0,0.5,0.0
9050,2088661600,娜姐,2017-05-16,中国,河南,信阳,真心害怕  转发内容:真心害怕,13.0,9.0,1.4,1.0,0.8,0.5
9051,2088661600,娜姐,2017-05-15,中国,河南,信阳,为大叔服务是我的荣幸你一定要赶快好起来,7.0,0.0,0.5,0.0,0.5,0.0
9052,2088661600,娜姐,2017-05-14,中国,河南,信阳,哎呀我都快被时恩娜给气死了你真的是个大智障大笨蛋连我都搞不懂你不知道你整天都在干什么想什么脑瓜子里都是什么乱七八糟的东东惹大叔生气了吧哼还好大叔人懂事包容你理解你要不看你怎么办搞得我都不想理你了真欠抽啊你,20.0,388.0,0.3,5.5,0.4,2.3
9053,2088661600,娜姐,2017-05-10,中国,河南,信阳,老翁生日快乐呦祝小蜜蜂和小乌龟天天开心幸福美满一辈子在一起嘿嘿露了个脸,22.0,0.0,1.2,0.0,0.5,0.0
9054,2088661600,娜姐,2017-05-10,中国,河南,信阳,一场轰轰烈烈的水球大战即将开始了记得小学的时候每一个人都支着大牙拿这个互砸女生一起砸男生身上都湿的差不多了但是仍不减我们的热情与兴奋那段时光记忆犹新永远忘却不了永远在我心中简简单单真的开心的不得了你看这乐呵的好可爱,66.0,15.0,1.1,0.2,2.2,0.4
9055,2088661600,娜姐,2017-05-08,中国,河南,信阳,为了一场漫展可以毫无顾忌的独自奔赴陌生的城市为了攒钱买周边可以放弃美丽的衣服漂亮的饰品为了一个并不真实存在的角色或大哭或心痛或幸福或微笑因为二次元而认识一群人因为一群人而更加爱着二次元身边总会有人问至于吗假的东西疯狂成这样而我只是转头轻语因为你不曾爱过二次元永远爱你喜欢没有任何理由把炽热的心送给你感到很幸福,187.0,335.0,2.1,3.8,1.6,2.2
9056,2088661600,娜姐,2017-05-08,中国,河南,信阳,还有人喊我娜姐好亲切好开心啊,9.0,0.0,1.3,0.0,1.5,0.0
9057,2088661600,娜姐,2017-05-07,中国,河南,信阳,一个安静的夜晚过去了早安亲爱的们,12.0,0.0,1.2,0.0,0.6,0.0
9058,2088661600,娜姐,2017-05-06,中国,河南,信阳,温柔似水的你甜蜜的我一直要在一起我会像你所说的那样永远永远都是你的小太阳你是我的向日葵爱你,56.0,0.0,1.9,0.0,0.3,0.0
9059,2088661600,娜姐,2017-05-04,中国,河南,信阳,童年的糖果罐永不熔化我会守着真心呆呆地看着咱们毕业照微笑脸庞的你们一起努力青春如你一般的可爱,8.0,0.0,0.3,0.0,0.5,0.0
9060,2088661600,娜姐,2017-05-01,中国,河南,信阳,没有你好寂寞提不起精神,0.0,8.0,0.0,1.6,0.0,0.5
9061,2088661600,娜姐,2017-05-01,中国,河南,信阳,昨天晚上做梦你们肯定不知道我梦见了什么哈哈我梦见了我们黄土街被丧尸入侵了那场面简直啧啧啧太恐怖了不过幸好我活了下来,25.0,7.0,0.8,0.2,0.4,0.4
9062,2088661600,娜姐,2017-04-28,中国,河南,信阳,你在我家排行老九所以我喊你猪九妹你好呀小九,0.0,0.0,0.0,0.0,0.0,0.0
9063,2088661600,娜姐,2017-04-27,中国,河南,信阳,不忘初心晚安世界,0.0,0.0,0.0,0.0,0.0,0.0
9064,2088661600,娜姐,2017-04-26,中国,河南,信阳,很好玩耶  转发内容:很好玩耶,31.0,0.0,2.8,0.0,1.7,0.0
9065,2088661600,娜姐,2017-04-25,中国,河南,信阳,捧在手心里的最爱,0.0,0.0,0.0,0.0,0.0,0.0
9066,2088661600,娜姐,2017-04-20,中国,河南,信阳,我家白痴嫌我唱歌难听,0.0,5.0,0.0,0.8,0.0,0.4
9067,2088661600,娜姐,2017-04-15,中国,河南,信阳,蓝球场上你是笑得最灿烂的那个男孩也是我最喜欢的小驴,56.0,0.0,3.1,0.0,2.8,0.0
9068,2088661600,娜姐,2017-04-14,中国,河南,信阳,春光无限好哈哈四个小猪,9.0,0.0,1.5,0.0,1.5,0.0
9069,2088661600,娜姐,2017-04-10,中国,河南,信阳,炸完了搁牢里待着吧,0.0,0.0,0.0,0.0,0.0,0.0
9070,2088661600,娜姐,2017-04-09,中国,河南,信阳,看着你们回来了并且一切都很顺利我很开心今晚好好休息有个好梦,55.0,0.0,3.1,0.0,3.0,0.0
9071,2088661600,娜姐,2017-04-08,中国,河南,信阳,遇见你真是一件很美妙的事情犹如锦上添花仿佛有种魔力谢谢你亲爱的我的人生真的很美,83.0,12.0,3.6,0.5,2.3,0.5
9072,2088661600,娜姐,2017-04-07,中国,河南,信阳,怎么样这对比也太明显了,6.0,0.0,0.9,0.0,1.4,0.0
9073,2088661600,娜姐,2017-04-06,中国,河南,信阳,你娘子我已阵亡,0.0,0.0,0.0,0.0,0.0,0.0
9074,2088661600,娜姐,2017-04-04,中国,河南,信阳,无论别人怎么说我都希望你能支持我,5.0,0.0,0.5,0.0,0.5,0.0
9075,2088661600,娜姐,2017-04-03,中国,河南,信阳,才发现长大了有那么多的同学聚会今天就错过了一场好久都没见了啊感觉好遗憾啊就是因为我在睡懒觉真的很抱歉真的好想和你们在一起说说话,0.0,249.0,0.0,6.4,0.0,4.5
9076,2088661600,娜姐,2017-04-02,中国,河南,信阳,和可爱的你们谈笑风生度过了一个美好的时光希望你们活的像个孩子永远开心自在,67.0,0.0,3.0,0.0,1.4,0.0
9077,2088661600,娜姐,2017-04-02,中国,河南,信阳,收到了礼物好开心啊谢谢你你们猜猜哪个是我,7.0,0.0,0.6,0.0,0.5,0.0
9078,2088661600,娜姐,2017-04-01,中国,河南,信阳,  转发内容:,9.0,0.0,1.8,0.0,0.4,0.0
9079,2088661600,娜姐,2017-04-01,中国,河南,信阳,这可都是妹子噢哈哈别来找我我害怕你打我因为今天是愚人节就拿你们来乐呵乐呵愚人节快乐啊,65.0,16.0,2.4,0.6,1.3,0.5
9080,2088661600,娜姐,2017-03-31,中国,河南,信阳,我不好吃还是喜欢我比较好要不在你吃我之前我先把你鸡蛋真好吃,-4.0,0.0,-0.2,0.0,0.5,0.0
9081,2088661600,娜姐,2017-03-30,中国,河南,信阳,亲爱的三宝宝我的跟屁虫生日快乐今天是你六岁生日姑姑希望你天天开心好好学习像小猪一样能吃能喝像小树一样茁壮成长,58.0,0.0,2.2,0.0,0.9,0.0
9082,2088661600,娜姐,2017-03-29,中国,河南,信阳,不能浇灌脾气要鞭策自己理解是金,3.0,16.0,0.3,1.8,0.5,0.4
9083,2088661600,娜姐,2017-03-28,中国,河南,信阳,  转发内容:,9.0,0.0,1.8,0.0,0.4,0.0
